Country Code,Short Name,Table Name,Long Name,2-alpha code,Currency Unit,Special Notes,Region,Income Group,WB-2 code,National accounts base year,National accounts reference year,SNA price valuation,Lending category,Other groups,System of National Accounts,Alternative conversion factor,PPP survey year,Balance of Payments Manual in use,External debt Reporting status,System of trade,Government Accounting concept,IMF data dissemination standard,Latest population census,Latest household survey,Source of most recent Income and expenditure data,Vital registration complete,Latest agricultural census,Latest industrial data,Latest trade data
SLB,Solomon Islands,Solomon Islands,Solomon Islands,SB,Solomon Islands dollar,,East Asia & Pacific,Lower middle income,SB,2004,,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology,,2011 (household consumption only).,BPM6,Actual,Special trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2009,"Solomon Islands Demographic and Health Survey, 2006/07","Integrated household survey (IHS), 2012/13",,,,2017
SLE,Sierra Leone,Sierra Leone,Republic of Sierra Leone,SL,Sierra Leonean leone,Fiscal year end: June 30; reporting period for national accounts data: CY.,Sub-Saharan Africa,Low income,SL,2006,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology,,2011,BPM5 (Converted into BPM6 by IMF),Actual,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2015,"Malaria Indicator Survey, 2016","Integrated household survey (IHS), 2011",,,1993,2017
SLV,El Salvador,El Salvador,Republic of El Salvador,SV,U.S. dollar,,Latin America & Caribbean,Lower middle income,SV,2005,2014,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,2011,BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2007,"Multiple Indicator Cluster Survey, 2014","Integrated household survey (IHS), 2016",Yes,2007/08,1998,2017
SMR,San Marino,San Marino,Republic of San Marino,SM,Euro,,Europe & Central Asia,High income,SM,2007,,Value added at basic prices (VAB),,,Country uses the 1993 System of National Accounts methodology,,,,,,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2010,,,Yes,,,
SOM,Somalia,Somalia,Somali Democratic Republic,SO,Somali shilling,,Sub-Saharan Africa,Low income,SO,1985,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1968 System of National Accounts methodology,1977–90,,BPM5 (Converted into BPM6 by IMF),Estimate,,,,1987,"Multiple Indicator Cluster Survey, 2006",,,,1986,
SRB,Serbia,Serbia,Republic of Serbia,RS,New Serbian dinar,"Montenegro declared independence from Serbia and Montenegro on June 3, 2006. Where available, data for each country are shown separately. However, for Serbia, some indicators, such as those series for which data appear only for Serbia and not Montenegro--e.g., aid, environment, external debt, balance of payments, various social indicators excluding population--continue to include data for Montenegro through 2005. Moreover, data from 1999 onward for Serbia for most indicators exclude data for Kosovo, 1999 being the year when Kosovo became a territory under international administration pursuant to UN Security Council Resolution 1244 (1999); any exceptions are noted. Kosovo became a World Bank member on June 29, 2009; available data are shown separately for Kosovo. In 2011, the Statistical Office of Serbia improved the methodology of national accounts data for 2003 onward. Specifically, the classification of sectors was revised. The new reference year for chain linked series is 2010.",Europe & Central Asia,Upper middle income,YF,2010,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,Rolling,BPM6,Actual,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2011,"Multiple Indicator Cluster Survey, 2014","Expenditure survey/budget survey (ES/BS), 2016",Yes,2012,2014,2017
SSA,Sub-Saharan Africa (excluding high income),Sub-Saharan Africa (excluding high income),Sub-Saharan Africa (excluding high income),ZF,,Sub-Saharan Africa regional aggregate (does not include high-income economies).,,,ZF,,,,,,,,,,,,,,,,,,,,2016
SSD,South Sudan,South Sudan,Republic of South Sudan,SS,South Sudanese Pound,"South Sudan declared its independence on July 9, 2011. Data are shown separately for South Sudan where available.",Sub-Saharan Africa,Low income,SS,2009,,Value added at basic prices (VAB),IDA,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,,,,2008,"Multiple Indicator Cluster Survey, 2010","Expenditure survey/budget survey (ES/BS), 2009",,,,
SSF,Sub-Saharan Africa,Sub-Saharan Africa,Sub-Saharan Africa,ZG,,Sub-Saharan Africa regional aggregate (includes all income levels).,,,ZG,,,,,,,,,,,,,,,,,,,,2016
SST,Small states,Small states,Small states,S1,,"Small states aggregate. Includes 41 members of the Small States Forum. (Does not include the high-income countries Bahrain, Brunei Darussalam, Cyprus, Estonia, Iceland, Malta, Qatar, and San Marino.)",,,S1,,,,,,,,,,,,,,,,,,,,2016
STP,São Tomé and Principe,São Tomé and Principe,Democratic Republic of São Tomé and Principe,ST,São Tomé and Principe dobra,The new base year is 2008.,Sub-Saharan Africa,Lower middle income,ST,2008,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology,,2011,BPM6,Actual,Special trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2012,"Multiple Indicator Cluster Survey, 2014","Priority survey (PS), 2010",,2011/12,,2017
SUR,Suriname,Suriname,Republic of Suriname,SR,Suriname dollar,,Latin America & Caribbean,Upper middle income,SR,2007,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology,,2011,BPM5 (Converted into BPM6 by IMF),,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2012,"Multiple Indicator Cluster Survey, 2010","Expenditure survey/budget survey (ES/BS), 1999",Yes,2008/09,,2017
SVK,Slovak Republic,Slovak Republic,Slovak Republic,SK,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2009: 1 euro = 30.126 Slovak koruna. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,SK,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology,,Rolling,BPM6,,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"World Health Survey, 2003","Income survey (IS), 2014",Yes,2010,2013,2017
SVN,Slovenia,Slovenia,Republic of Slovenia,SI,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2007: 1 euro = 239.64 Slovenian tolar. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,SI,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology,,Rolling,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2015. Population data compiled from administrative registers.,"World Health Survey, 2003","Expenditure survey/budget survey (ES/BS), 2014",Yes,2010,2013,2017
SWE,Sweden,Sweden,Kingdom of Sweden,SE,Swedish krona,Fiscal year end: June 30; reporting period for national accounts data: CY.,Europe & Central Asia,High income,SE,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology,,Rolling,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS+),2011. Population data compiled from administrative registers.,,"Income survey (IS), 2014",Yes,2010,2014,2017
SWZ,Eswatini,Eswatini,Kingdom of Eswatini,SZ,Swazi lilangeni,Fiscal year end: March 31; reporting period for national accounts data: CY. Authorities revised national accounts from 1999 to 2015.,Sub-Saharan Africa,Lower middle income,SZ,2011,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,2011,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2007,"Multiple Indicator Cluster Survey, 2014","Expenditure survey/budget survey (ES/BS), 2009/10",,,2011,2017
SXM,Sint Maarten (Dutch part),Sint Maarten (Dutch part),Sint Maarten (Dutch part),SX,Netherlands Antillean guilder,,Latin America & Caribbean,High income,SX,,,,,,,,2011,BPM6,,Special trade system,,,2011,,,Yes,,,2016
SYC,Seychelles,Seychelles,Republic of Seychelles,SC,Seychelles rupee,,Sub-Saharan Africa,High income,SC,2006,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology,,2011,BPM6,,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2010,,"Expenditure survey/budget survey (ES/BS), 2013",Yes,2011,,2017
SYR,Syrian Arab Republic,Syrian Arab Republic,Syrian Arab Republic,SY,Syrian pound,,Middle East & North Africa,Low income,SY,2000,,Value added at basic prices (VAB),IDA,,Country uses the 1968 System of National Accounts methodology,1970–2010,2011,BPM5 (Converted into BPM6 by IMF),Estimate,Special trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2004,"Multiple Indicator Cluster Survey, 2006","Expenditure survey/budget survey (ES/BS), 2007",,,2005,2017
TCA,Turks and Caicos Islands,Turks and Caicos Islands,Turks and Caicos Islands,TC,U.S. dollar,,Latin America & Caribbean,High income,TC,,,Value added at basic prices (VAB),,,Country uses the 1993 System of National Accounts methodology,,2011,,,General trade system,,,2012,,,Yes,,,
TCD,Chad,Chad,Republic of Chad,TD,Central African CFA franc,,Sub-Saharan Africa,Low income,TD,2005,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology,,2011,BPM5 (Converted into BPM6 by IMF),Estimate,Special trade system,,Enhanced General Data Dissemination System (e-GDDS),2009,"Demographic and Health Survey, 2014/15","Priority survey (PS), 2011",,,,2017
TEA,East Asia & Pacific (IDA & IBRD),East Asia & Pacific (IDA & IBRD),East Asia & Pacific (IDA & IBRD),T4,,East Asia & Pacific (IDA & IBRD countries) aggregate.,,,T4,,,,,,,,,,,,,,,,,,,,2016
TEC,Europe & Central Asia (IDA & IBRD),Europe & Central Asia (IDA & IBRD),Europe & Central Asia (IDA & IBRD),T7,,Europe & Central Asia (IDA & IBRD countries) aggregate.,,,T7,,,,,,,,,,,,,,,,,,,,2016
TGO,Togo,Togo,Republic of Togo,TG,West African CFA franc,,Sub-Saharan Africa,Low income,TG,2000,,Value added at producer prices (VAP),IDA,HIPC,Country uses the 1993 System of National Accounts methodology,,2011,BPM6,Actual,Special trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2010,"Demographic and Health Survey, 2013/14","Core Welfare Indicator Questionnaire Survey (CWIQ), 2015",,2011-14,,2017
THA,Thailand,Thailand,Kingdom of Thailand,TH,Thai baht,Fiscal year end: September 30; reporting period for national accounts data: CY.,East Asia & Pacific,Upper middle income,TH,2002,,Value added at producer prices (VAP),IBRD,,Country uses the 2008 System of National Accounts methodology,,2011,BPM6,Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2010,"Multiple Indicator Cluster Survey, 2012/13","Integrated household survey (IHS), 2014",,2013,2011,2017
TJK,Tajikistan,Tajikistan,Republic of Tajikistan,TJ,Tajik somoni,,Europe & Central Asia,Low income,TJ,Original chained constant price data are rescaled.,2000,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology,1990–95,2011,BPM6,Actual,General trade system,,Enhanced General Data Dissemination System (e-GDDS),2010,"Demographic and Health Survey, 2012","Expenditure survey/budget survey (ES/BS), 2015",,2013,,2017
TKM,Turkmenistan,Turkmenistan,Turkmenistan,TM,New Turkmen manat,,Europe & Central Asia,Upper middle income,TM,2005,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology,"1987–95, 1997–2007",,BPM5 (Converted into BPM6 by IMF),Estimate,,,,2012,"Multiple Indicator Cluster Survey, 2015/16","Living Standards Measurement Study Survey (LSMS), 1998",,,,2017
TLA,Latin America & Caribbean (IDA & IBRD),Latin America & Caribbean (IDA & IBRD),Latin America & Caribbean (IDA & IBRD),T2,,Latin America & the Caribbean (IDA & IBRD countries) aggregate.,,,T2,,,,,,,,,,,,,,,,,,,,2016
TLS,Timor-Leste,Timor-Leste,Democratic Republic of Timor-Leste,TL,U.S. dollar,WB-3 code changed from TMP to TLS to align with ISO code.,East Asia & Pacific,Lower middle income,TP,2015,,Value added at basic prices (VAB),Blend,,Country uses the 2008 System of National Accounts methodology,,,,,General trade system,,Enhanced General Data Dissemination System (e-GDDS),2015,"Demographic and Health Survey, 2016","Living Standards Measurement Study Survey (LSMS), 2014/15",,,,2017
TMN,Middle East & North Africa (IDA & IBRD),Middle East & North Africa (IDA & IBRD),Middle East & North Africa (IDA & IBRD),T3,,Middle East & North Africa (IDA & IBRD countries) aggregate.,,,T3,,,,,,,,,,,,,,,,,,,,2016
TON,Tonga,Tonga,Kingdom of Tonga,TO,Tongan pa'anga,,East Asia & Pacific,Upper middle income,TO,2011,,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology,,2011 (household consumption only).,BPM6,Estimate,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2006,"Demographic and Health Survey, 2012","Integrated household survey (IHS), 2009",,2014,1981,2017
TSA,South Asia (IDA & IBRD),South Asia (IDA & IBRD),South Asia (IDA & IBRD),T5,,South Asia (IDA & IBRD countries) aggregate.,,,T5,,,,,,,,,,,,,,,,,,,,2016
TSS,Sub-Saharan Africa (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD),T6,,Sub-Saharan Africa (IDA & IBRD countries) aggregate.,,,T6,,,,,,,,,,,,,,,,,,,,2016
TTO,Trinidad and Tobago,Trinidad and Tobago,Republic of Trinidad and Tobago,TT,Trinidad and Tobago dollar,,Latin America & Caribbean,High income,TT,2012,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology,,2011,BPM6,,Special trade system,,Enhanced General Data Dissemination System (e-GDDS),2011,"Multiple Indicator Cluster Survey, 2011","Integrated household survey (IHS), 1992",Yes,,2006,2017
TUN,Tunisia,Tunisia,Republic of Tunisia,TN,Tunisian dinar,,Middle East & North Africa,Lower middle income,TN,2010,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology,,2011,BPM5 (Converted into BPM6 by IMF),Actual,General trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),2014,"Multiple Indicator Cluster Survey, 2011/12","Integrated household survey (IHS), 2015",,,2010,2017
TUR,Turkey,Turkey,Republic of Turkey,TR,New Turkish lira,The new base year is 2009,Europe & Central Asia,Upper middle income,TR,2009,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,Rolling,BPM6,Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"2011. Population data compiled from administrative registers in combination with other sources of data, such as a sample surveys.","Demographic and Health Survey, 2013","Expenditure survey/budget survey (ES/BS), 2014",Yes,2014,2014,2017
TUV,Tuvalu,Tuvalu,Tuvalu,TV,Australian dollar,,East Asia & Pacific,Upper middle income,TV,2005,,Value added at basic prices (VAB),IDA,,Country uses the 1968 System of National Accounts methodology,,2011 (household consumption only).,BPM6,,General trade system,,Enhanced General Data Dissemination System (e-GDDS),2012,"Demographic and Health Survey, 2007","Expenditure survey/budget survey (ES/BS), 2010",,,,2017
TZA,Tanzania,Tanzania,United Republic of Tanzania,TZ,Tanzanian shilling,Tanzania reports using a blend of SNA 1993 and SNA 2008.,Sub-Saharan Africa,Low income,TZ,2007,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology,,2011,BPM6,Estimate,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2012,"Demographic and Health Survey, 2015/16","Expenditure survey/budget survey (ES/BS), 2011/12",,2007/08,2010,2017
UGA,Uganda,Uganda,Republic of Uganda,UG,Ugandan shilling,Fiscal year end: June 30; reporting period for national accounts data: FY.,Sub-Saharan Africa,Low income,UG,2009/10,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 2008 System of National Accounts methodology,,2011,BPM6,Actual,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2014,"Demographic and Health Survey, 2016","Integrated household survey (IHS), 2012/13",,2008/09,2000,2017
UKR,Ukraine,Ukraine,Ukraine,UA,Ukrainian hryvnia,,Europe & Central Asia,Lower middle income,UA,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,1987–95,2011,BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2001,"Multiple Indicator Cluster Survey, 2012","Integrated household survey (IHS), 2016",Yes,,2014,2017
UMC,Upper middle income,Upper middle income,Upper middle income,XT,,"Upper middle income group aggregate. Upper-middle-income economies are those in which 2016 GNI per capita was between $3,956 and $12,235.",,,XT,,,,,,,,,,,,,,,,,,,,2016
URY,Uruguay,Uruguay,Oriental Republic of Uruguay,UY,Uruguayan peso,,Latin America & Caribbean,High income,UY,2005,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology,,2011,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"Multiple Indicator Cluster Survey, 2012/13","Integrated household survey (IHS), 2016",Yes,2011,2011,2017
USA,United States,United States,United States of America,US,U.S. dollar,,North America,High income,US,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology,,2011,BPM6,,General trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS+),2010,,"Labor force survey (LFS), 2013",Yes,2012,2011,2016
UZB,Uzbekistan,Uzbekistan,Republic of Uzbekistan,UZ,Uzbek sum,,Europe & Central Asia,Lower middle income,UZ,Original chained constant price data are rescaled.,1997,Value added at basic prices (VAB),Blend,,Country uses the 1993 System of National Accounts methodology,1990–95,,,Actual,General trade system,Consolidated central government,,1989,"Multiple Indicator Cluster Survey, 2006","Expenditure survey/budget survey (ES/BS), 2013",Yes,,,2017
VCT,St. Vincent and the Grenadines,St. Vincent and the Grenadines,St. Vincent and the Grenadines,VC,East Caribbean dollar,,Latin America & Caribbean,Upper middle income,VC,2006,,Value added at basic prices (VAB),Blend,,Country uses the 1993 System of National Accounts methodology,,2011,BPM6,Actual,Special trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2012,,,Yes,,,2017
VEN,Venezuela,"Venezuela, RB",República Bolivariana de Venezuela,VE,Venezuelan bolivar fuerte,,Latin America & Caribbean,Upper middle income,VE,1997,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology,,2011,BPM6,Estimate,General trade system,,Enhanced General Data Dissemination System (e-GDDS),2011,"Multiple Indicator Cluster Survey, 2000","Integrated household survey (IHS), 2015",,2008,1998,2016
VGB,British Virgin Islands,British Virgin Islands,British Virgin Islands,VG,U.S. dollar,,Latin America & Caribbean,High income,VG,,,,,,,,,,,,,,2010,"STEPS Risk Factor Survey, 2010",,Yes,,,
VIR,Virgin Islands,Virgin Islands (U.S.),Virgin Islands of the United States,VI,U.S. dollar,,Latin America & Caribbean,High income,VI,1982,,,,,,,,,,General trade system,,,2010,,,Yes,2012,,
VNM,Vietnam,Vietnam,Socialist Republic of Vietnam,VN,Vietnamese dong,,East Asia & Pacific,Lower middle income,VN,2010,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology,1991,2011,BPM6,Actual,General trade system,,Enhanced General Data Dissemination System (e-GDDS),2009,"Multiple Indicator Cluster Survey, 2013/14","Integrated household survey (IHS), 2014",Yes,2011,2013,2017
VUT,Vanuatu,Vanuatu,Republic of Vanuatu,VU,Vanuatu vatu,,East Asia & Pacific,Lower middle income,VU,2006,,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology,,2011 (household consumption only).,BPM6,Preliminary,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2009,"Multiple Indicator Cluster Survey, 2007/08","Integrated household survey (IHS), 2010",,2007,,2017
WLD,World,World,World,1W,,World aggregate.,,,1W,,,,,,,,,,,,,,,,,,,,2016
WSM,Samoa,Samoa,Samoa,WS,Samoan tala,"Fiscal year ends on June 30; reporting period for national accounts data: FY. Data are revised from Samoa Bureau of Statistics and Central Bank of Samoa. The base year is 2008/09. Other methodological changes include increased reliance on summary data from the country’s Value Added Goods and Services Tax system, incorporation of more recent benchmarks, and use of improved data sources.",East Asia & Pacific,Upper middle income,WS,2008/09,,Value added at producer prices (VAP),IDA,,Country uses the 1993 System of National Accounts methodology,,2011 (household consumption only).,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2016,"Demographic and Health Survey, 2009","Expenditure survey/budget survey (ES/BS), 2008",,2009,,2017
XKX,Kosovo,Kosovo,Republic of Kosovo,XK,Euro,WB-3 code changed from KSV to XKX to align with ISO provisional code.,Europe & Central Asia,Lower middle income,XK,2008,,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology,,,BPM6,Actual,,,Enhanced General Data Dissemination System (e-GDDS),2011,"Multiple Indicator Cluster Survey, 2013/14","Expenditure survey/budget survey (ES/BS), 2015",,2014,,
YEM,Yemen,"Yemen, Rep.",Republic of Yemen,YE,Yemeni rial,"Based on official government statistics and International Monetary Fund data, national accounts data have been revised for 1990 onward. The exchange rate used for 2016 is official rate and not IFS rate. The base year has reverted to 1990.",Middle East & North Africa,Low income,RY,1990,,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology,1990–96,2011,BPM5 (Converted into BPM6 by IMF),Actual,Special trade system,,Enhanced General Data Dissemination System (e-GDDS),2004,"Demographic and Health Survey, 2013","Expenditure survey/budget survey (ES/BS), 2014",,,2012,2017
ZAF,South Africa,South Africa,Republic of South Africa,ZA,South African rand,Fiscal year end: March 31; reporting period for national accounts data: CY.,Sub-Saharan Africa,Upper middle income,ZA,2010,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,2011,BPM6,Preliminary,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"Demographic and Health Survey, 2003; World Health Survey, 2003","Expenditure survey/budget survey (ES/BS), 2014/15",,2007,2010,2017
ZMB,Zambia,Zambia,Republic of Zambia,ZM,New Zambian kwacha,"The base year is 2010. National accounts data were rebased to reflect the January 1, 2013, introduction of the new Zambian kwacha at a rate of 1,000 old kwacha = 1 new kwacha. Zambia reports using SNA 2008.",Sub-Saharan Africa,Lower middle income,ZM,2010,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 2008 System of National Accounts methodology,1990–92,2011,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2010,"Demographic and Health Survey, 2013/14","Integrated household survey (IHS), 2015",,,1994,2017
ZWE,Zimbabwe,Zimbabwe,Republic of Zimbabwe,ZW,U.S. dollar,"Fiscal year end: June 30; reporting period for national accounts data: CY. As of January 2009, multiple hard currencies, such as rand, pound sterling, euro and U.S. dollar are in use. Data are reported in U.S. dollars, the most-used currency.",Sub-Saharan Africa,Low income,ZW,2009,,Value added at basic prices (VAB),Blend,,Country uses the 1993 System of National Accounts methodology,"1991, 1998",2011,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2012,"Demographic and Health Survey, 2015","Integrated household survey (IHS), 2011/12",,,,2017
