Country Code,Short Name,Table Name,Long Name,2-alpha code,Currency Unit,Special Notes,Region,Income Group,WB-2 code,National accounts base year,National accounts reference year,SNA price valuation,Lending category,Other groups,System of National Accounts,Alternative conversion factor,PPP survey year,Balance of Payments Manual in use,External debt Reporting status,System of trade,Government Accounting concept,IMF data dissemination standard,Latest population census,Latest household survey,Source of most recent Income and expenditure data,Vital registration complete,Latest agricultural census,Latest industrial data,Latest trade data,Latest water withdrawal data
"NPL","Nepal","Nepal","Nepal","NP","Nepalese rupee","The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: July 14). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).","South Asia","Lower middle income","NP","2010/11",,"Value added at basic prices (VAB)","IDA",,"Country uses the 2008 System of National Accounts methodology",,,"BPM5 (Converted into BPM6 by IMF)","Actual","General trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2011","Multiple Indicator Cluster Survey, 2019","Living Standards Measurement Study Survey (LSMS), 2010/11",,"2011-2012","2011","2017",
"NRU","Nauru","Nauru","Republic of Nauru","NR","Australian dollar","The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).","East Asia & Pacific","High income","NR","2013",,"Value added at basic prices (VAB)","IBRD",,"Country uses the 1993 System of National Accounts methodology",,,,,,,,"2011","Nauru Demographic and Health Survey, 2007",,"Yes",,,,
"NZL","New Zealand","New Zealand","New Zealand","NZ","New Zealand dollar","Fiscal year end: March 31; reporting period for national accounts data: CY.","East Asia & Pacific","High income","NZ","Original chained constant price data are rescaled.","2015","Value added at basic prices (VAB)",,,"Country uses the 2008 System of National Accounts methodology",,,"BPM6",,"General trade system",,,"2018",,,"Yes","2012","2012","2018",
"OED","OECD members","OECD members","OECD members","OE",,,,,"OE",,,,,,,,,,,,,,,,,,,,,
"OMN","Oman","Oman","Sultanate of Oman","OM","Omani rial",,"Middle East & North Africa","High income","OM","2018",,"Value added at basic prices (VAB)",,,"Country uses the 2008 System of National Accounts methodology",,,"BPM6",,"General trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2020 (expected)","Multiple Indicator Cluster Survey, 2014",,,"2012-2013","2014","2018",
"OSS","Other small states","Other small states","Other small states","S4",,"Other small states aggregate.",,,"S4",,,,,,,,,,,,,,,,,,,,,
"PAK","Pakistan","Pakistan","Islamic Republic of Pakistan","PK","Pakistani rupee","The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).","South Asia","Lower middle income","PK","2015/16",,"Value added at basic prices (VAB)","Blend",,"Country uses the 2008 System of National Accounts methodology",,,"BPM6","Actual","General trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2017","Pakistan Maternal Mortality Survey
Other Data , 2019","Integrated household survey (IHS), 2014/15",,"2010","2006","2018",
"PAN","Panama","Panama","Republic of Panama","PA","Panamanian balboa",,"Latin America & Caribbean","High income","PA","Original chained constant price data are rescaled.","2018","Value added at basic prices (VAB)","IBRD",,"Country uses the 1993 System of National Accounts methodology",,,"BPM6",,"Special trade system",,"Enhanced General Data Dissemination System (e-GDDS)","2020 (expected)","Multiple Indicator Cluster Survey, 2013","Integrated household survey (IHS), 2016","Yes","2011","2001","2016",
"PER","Peru","Peru","Republic of Peru","PE","Peruvian new sol","The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1988-2009. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.","Latin America & Caribbean","Upper middle income","PE","2007",,"Value added at basic prices (VAB)","IBRD",,"Country uses the 2008 System of National Accounts methodology",,,"BPM6","Actual","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2017","Continuous Demographic and Health Survey, 2014","Integrated household survey (IHS), 2017",,"2012","2011","2018",
"PHL","Philippines","Philippines","Republic of the Philippines","PH","Philippine peso",,"East Asia & Pacific","Lower middle income","PH","2018",,"Value added at producer prices (VAP)","IBRD",,"Country uses the 2008 System of National Accounts methodology",,,"BPM6","Actual","General trade system","Budgetary central government","Special Data Dissemination Standard (SDDS)","2020 (expected)","Demographic and Health Survey, 2017","Expenditure survey/budget survey (ES/BS), 2015","Yes","2012","2012","2018",
"PLW","Palau","Palau","Republic of Palau","PW","U.S. dollar","Fiscal year ends on September 30; reporting period for national accounts data: FY.","East Asia & Pacific","High income","PW","2019",,"Value added at basic prices (VAB)","IBRD",,"Country uses the 1993 System of National Accounts methodology",,,"BPM6",,"General trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2015",,"Expenditure survey/budget survey (ES/BS), 2006","Yes",,,"2018",
"PNG","Papua New Guinea","Papua New Guinea","The Independent State of Papua New Guinea","PG","Papua New Guinea kina",,"East Asia & Pacific","Lower middle income","PG","2013",,"Value added at basic prices (VAB)","Blend",,"Country uses the 1993 System of National Accounts methodology",,,"BPM6","Actual",,"Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2020 (expected)","Demographic and Health Survey, 2016/18","Integrated household survey (IHS), 2009/10",,,"1987","2012",
"POL","Poland","Poland","Republic of Poland","PL","Polish zloty",,"Europe & Central Asia","High income","PL","Original chained constant price data are rescaled.","2015","Value added at basic prices (VAB)","IBRD",,"Country uses the 2008 System of National Accounts methodology",,,"BPM6",,"Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2011. Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys.",,"Expenditure survey/budget survey (ES/BS), 2016","Yes","2010","2013","2018",
"PRE","Pre-demographic dividend","Pre-demographic dividend","Pre-demographic dividend","V1",,"Pre-dividend countries are mostly low-income countries, lagging in key human development indicators and with current fertility levels above four births per woman. They face very rapid population growth.",,,"V1",,,,,,,,,,,,,,,,,,,,,
"PRI","Puerto Rico","Puerto Rico","Puerto Rico","PR","U.S. dollar","Fiscal year end: June 30; reporting period for national accounts data: FY.","Latin America & Caribbean","High income","PR","2017",,"Value added at producer prices (VAP)",,,"Country uses the 1968 System of National Accounts methodology",,,,,"General trade system",,,"2020 (expected)","Reproductive Health Survey, 1995/96",,"Yes","2012","2006",,
"PRK","Dem. People's Rep. Korea","Korea, Dem. People's Rep.","Democratic People's Republic of Korea","KP","Democratic People's Republic of Korean won",,"East Asia & Pacific","Low income","KP",,,,,,,,,,,,,,"2019","Multiple Indicator Cluster Survey, 2017",,,,,,
"PRT","Portugal","Portugal","Portuguese Republic","PT","Euro","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 200.482 Portuguese escudo. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.","Europe & Central Asia","High income","PT","Original chained constant price data are rescaled.","2015","Value added at basic prices (VAB)",,"Euro area","Country uses the 2008 System of National Accounts methodology",,,"BPM6",,"Special trade system","Consolidated central government","Special Data Dissemination Standard Plus (SDDS Plus)","2011",,,"Yes","2009","2014","2018",
"PRY","Paraguay","Paraguay","Republic of Paraguay","PY","Paraguayan guarani","The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1982-1988. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.","Latin America & Caribbean","Upper middle income","PY","2014",,"Value added at basic prices (VAB)","IBRD",,"Country uses the 2008 System of National Accounts methodology",,,"BPM6","Actual","General trade system","Consolidated central government","Enhanced General Data Dissemination System (e-GDDS)","2012","Multiple Indicator Cluster Survey, 2016","Integrated household survey (IHS), 2017",,"2008","2010","2018",
"PSE","West Bank and Gaza","West Bank and Gaza","West Bank and Gaza","PS","Israeli new shekel","National accounts data are provided in the US dollar.","Middle East & North Africa","Lower middle income","GZ","2015",,"0",,,"Country uses the 2008 System of National Accounts methodology",,,"BPM6",,,"Consolidated central government","Special Data Dissemination Standard (SDDS)","2017","Multiple Indicator Cluster Survey, 2019/20","Expenditure survey/budget survey (ES/BS), 2016/17",,"2010","2013","2018",
"PSS","Pacific island small states","Pacific island small states","Pacific island small states","S2",,"Pacific island small states aggregate.",,,"S2",,,,,,,,,,,,,,,,,,,,,
"PST","Post-demographic dividend","Post-demographic dividend","Post-demographic dividend","V4",,"Post-dividend countries are mostly high-income countries where fertility has transitioned below replacement levels.",,,"V4",,,,,,,,,,,,,,,,,,,,,
"PYF","French Polynesia","French Polynesia","French Polynesia","PF","CFP franc",,"East Asia & Pacific","High income","PF","2005",,"Value added at basic prices (VAB)",,,"Country uses the 1993 System of National Accounts methodology",,,"BPM6",,"Special trade system",,,"2017",,,"Yes",,,"2015",
"QAT","Qatar","Qatar","State of Qatar","QA","Qatari riyal",,"Middle East & North Africa","High income","QA","2018",,"Value added at producer prices (VAP)",,,"Country uses the 1993 System of National Accounts methodology",,,"BPM5 (Converted into BPM6 by IMF)",,"General trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2020 (expected)","Multiple Indicator Cluster Survey, 2012",,"Yes",,"2013","2018",
"ROU","Romania","Romania","Romania","RO","New Romanian leu","The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1987-1992. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.","Europe & Central Asia","High income","RO","Original chained constant price data are rescaled.","2005","Value added at basic prices (VAB)","IBRD",,"Country uses the 2008 System of National Accounts methodology",,,"BPM6",,"Special trade system","Consolidated central government","Special Data Dissemination Standard Plus (SDDS Plus)","2011","Romania Reproductive Health Survey, 2004","Income survey (IS), 2016","Yes","2010","2013","2018",
"RUS","Russia","Russian Federation","Russian Federation","RU","Russian ruble",,"Europe & Central Asia","High income","RU","Original chained constant price data are rescaled.","2016","Value added at basic prices (VAB)","IBRD",,"Country uses the 2008 System of National Accounts methodology",,,"BPM6",,"General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2020 (expected)","Russian Federation Reproductive Health Survey, 2011","Expenditure survey/budget survey (ES/BS), 2017","Yes","2016","2014","2018",
"RWA","Rwanda","Rwanda","Republic of Rwanda","RW","Rwandan franc",,"Sub-Saharan Africa","Low income","RW","2017",,"Value added at basic prices (VAB)","IDA","HIPC","Country uses the 2008 System of National Accounts methodology",,,"BPM6","Actual","General trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2012","Demographic and Health Survey, 2019/20","Integrated household survey (IHS), 2016/17",,"2008, 2013","1999","2016",
"SAS","South Asia","South Asia","South Asia","8S",,,,,"8S",,,,,,,,,,,,,,,,,,,,,
"SAU","Saudi Arabia","Saudi Arabia","Kingdom of Saudi Arabia","SA","Saudi Arabian riyal",,"Middle East & North Africa","High income","SA","Original chained constant price data are rescaled.","2018","Value added at producer prices (VAP)",,,"Country uses the 2008 System of National Accounts methodology",,,"BPM6",,"General trade system","Budgetary central government","Special Data Dissemination Standard (SDDS)","2020 (expected)","Demographic Survey 2016",,,"2015","2006","2018",
"SDN","Sudan","Sudan","Republic of the Sudan","SD","Sudanese pound","The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 2018-2020. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.","Sub-Saharan Africa","Low income","SD","1996",,"Value added at basic prices (VAB)","IDA","HIPC","Country uses the 1968 System of National Accounts methodology",,,"BPM6","Estimate","General trade system",,"Enhanced General Data Dissemination System (e-GDDS)","2020 (expected)","Multiple Indicator Cluster Survey, 2014","Expenditure survey/budget survey (ES/BS), 2009",,,"2001","2017",
"SEN","Senegal","Senegal","Republic of Senegal","SN","West African CFA franc",,"Sub-Saharan Africa","Lower middle income","SN","2014",,"Value added at basic prices (VAB)","IDA","HIPC","Country uses the 2008 System of National Accounts methodology",,,"BPM6","Actual","General trade system","Budgetary central government","Special Data Dissemination Standard (SDDS)","2013","Continuous Demographic and Health Survey, 2017","Priority survey (PS), 2011/12",,"2013","2012","2018",
"SGP","Singapore","Singapore","Republic of Singapore","SG","Singapore dollar","Fiscal year end: March 31; reporting period for national accounts data: CY.","East Asia & Pacific","High income","SG","Original chained constant price data are rescaled.","2015","Value added at basic prices (VAB)",,,"Country uses the 2008 System of National Accounts methodology",,,"BPM6",,"General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2020 (expected). Population figures compiled from administrative registers.","National Health Survey, 2010",,"Yes",,"2014","2018",
"SLB","Solomon Islands","Solomon Islands","Solomon Islands","SB","Solomon Islands dollar",,"East Asia & Pacific","Lower middle income","SB","2012",,"Value added at basic prices (VAB)","IDA",,"Country uses the 1993 System of National Accounts methodology",,,"BPM6","Actual","Special trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2019","Solomon Islands Demographic and Health Survey, 2006/07","Integrated household survey (IHS), 2012/13",,,,"2018",
"SLE","Sierra Leone","Sierra Leone","Republic of Sierra Leone","SL","Sierra Leonean leone",,"Sub-Saharan Africa","Low income","SL","2018",,"Value added at basic prices (VAB)","IDA","HIPC","Country uses the 2008 System of National Accounts methodology",,,"BPM6","Actual","General trade system","Consolidated central government","Enhanced General Data Dissemination System (e-GDDS)","2020","Demographic and Health Survey, 2019","Integrated household survey (IHS), 2011",,,"1993","2017",
"SLV","El Salvador","El Salvador","Republic of El Salvador","SV","U.S. dollar",,"Latin America & Caribbean","Upper middle income","SV","Original chained constant price data are rescaled.","2014","Value added at basic prices (VAB)","IBRD",,"Country uses the 2008 System of National Accounts methodology",,,"BPM6","Actual","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2007","Multiple Indicator Cluster Survey, 2014","Integrated household survey (IHS), 2017","Yes","2007-2008","1998","2018",
"SMR","San Marino","San Marino","Republic of San Marino","SM","Euro",,"Europe & Central Asia","High income","SM","2007",,"Value added at basic prices (VAB)",,,"Country uses the 1993 System of National Accounts methodology",,,,,,"Consolidated central government","Enhanced General Data Dissemination System (e-GDDS)","2020 (expected)",,,"Yes",,,,
"SOM","Somalia","Somalia","Somali Democratic Republic","SO","Somali shilling","The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1977-2017. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.","Sub-Saharan Africa","Low income","SO","2022",,"Value added at basic prices (VAB)","IDA","HIPC","Country uses the 2008 System of National Accounts methodology",,,"BPM5 (Converted into BPM6 by IMF)","Actual",,,,"1987. Enumeration of settled population was in November 1986 and of nomads in February 1987.","Multiple Indicator Cluster Survey, 2006",,,,"1986",,
"SRB","Serbia","Serbia","Republic of Serbia","RS","New Serbian dinar","Montenegro declared independence from Serbia and Montenegro on June 3, 2006. Where available, data for each country are shown separately. However, for Serbia, some indicators, such as those series for which data appear only for Serbia and not Montenegro--e.g., aid, environment, external debt, balance of payments, various social indicators excluding population--continue to include data for Montenegro through 2005. Moreover, data from 1999 onward for Serbia for most indicators exclude data for Kosovo, 1999 being the year when Kosovo became a territory under international administration pursuant to UN Security Council Resolution 1244 (1999); any exceptions are noted. Kosovo became a World Bank member on June 29, 2009; available data are shown separately for Kosovo. In 2011, the Statistical Office of Serbia improved the methodology of national accounts data for 2003 onward. Specifically, the classification of sectors was revised.","Europe & Central Asia","Upper middle income","YF","Original chained constant price data are rescaled.","2021","Value added at basic prices (VAB)","IBRD",,"Country uses the 2008 System of National Accounts methodology",,,"BPM6","Actual","General trade system","Consolidated central government","Enhanced General Data Dissemination System (e-GDDS)","2011","Multiple Indicator Cluster Survey, 2019","Expenditure survey/budget survey (ES/BS), 2016","Yes","2012","2014","2018",
"SSA","Sub-Saharan Africa (excluding high income)","Sub-Saharan Africa (excluding high income)","Sub-Saharan Africa (excluding high income)","ZF",,,,,"ZF",,,,,,,,,,,,,,,,,,,,,
"SSD","South Sudan","South Sudan","Republic of South Sudan","SS","South Sudanese Pound","The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).","Sub-Saharan Africa","Low income","SS","2009",,"Value added at basic prices (VAB)","IDA",,"Country uses the 2008 System of National Accounts methodology",,,"BPM6",,,,,"2008","Multiple Indicator Cluster Survey, 2010","Expenditure survey/budget survey (ES/BS), 2009",,,,,
"SSF","Sub-Saharan Africa","Sub-Saharan Africa","Sub-Saharan Africa","ZG",,"Sub-Saharan Africa regional aggregate (includes all income levels).",,,"ZG",,,,,,,,,,,,,,,,,,,,,
"SST","Small states","Small states","Small states","S1",,"Small states aggregate.",,,"S1",,,,,,,,,,,,,,,,,,,,,
"STP","São Tomé and Principe","São Tomé and Principe","Democratic Republic of São Tomé and Principe","ST","São Tomé and Principe dobra","National account data were adjusted to reflect the new banknote (1 new Dobra STN = 1000 old Dobra STD)","Sub-Saharan Africa","Lower middle income","ST","2008",,"Value added at basic prices (VAB)","IDA","HIPC","Country uses the 1993 System of National Accounts methodology",,,"BPM6","Actual","Special trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2012","Multiple Indicator Cluster Survey, 2019","Priority survey (PS), 2010","Yes",,,"2018",
"SUR","Suriname","Suriname","Republic of Suriname","SR","Suriname dollar","The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to 1989-2021. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.","Latin America & Caribbean","Upper middle income","SR","2015",,"Value added at basic prices (VAB)","Blend",,"Country uses the 2008 System of National Accounts methodology",,,"BPM6","Actual","General trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2012","Multiple Indicator Cluster Survey, 2018","Expenditure survey/budget survey (ES/BS), 1999","Yes","2008-2009",,"2018",
"SVK","Slovak Republic","Slovak Republic","Slovak Republic","SK","Euro","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2009: 1 euro = 30.126 Slovak koruna. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.","Europe & Central Asia","High income","SK","Original chained constant price data are rescaled.","2015","Value added at basic prices (VAB)",,"Euro area","Country uses the 2008 System of National Accounts methodology",,,"BPM6",,"Special trade system","Consolidated central government","Special Data Dissemination Standard Plus (SDDS Plus)","2011","World Health Survey, 2003","Income survey (IS), 2015","Yes","2010","2013","2018",
"SVN","Slovenia","Slovenia","Republic of Slovenia","SI","Euro","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2007: 1 euro = 239.64 Slovenian tolar. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.","Europe & Central Asia","High income","SI","Original chained constant price data are rescaled.","2015","Value added at basic prices (VAB)",,"Euro area","Country uses the 2008 System of National Accounts methodology",,,"BPM6",,"Special trade system","Consolidated central government","Special Data Dissemination Standard Plus (SDDS Plus)","2018. Population figures compiled from administrative registers.","World Health Survey, 2003","Income survey (IS), 2015","Yes","2010","2013","2018",
"SWE","Sweden","Sweden","Kingdom of Sweden","SE","Swedish krona","Fiscal year end: June 30; reporting period for national accounts data: CY.","Europe & Central Asia","High income","SE","Original chained constant price data are rescaled.","2015","Value added at basic prices (VAB)",,,"Country uses the 2008 System of National Accounts methodology",,,"BPM6",,"Special trade system","Consolidated central government","Special Data Dissemination Standard Plus (SDDS Plus)","2011. Population figures compiled from administrative registers.",,"Income survey (IS), 2015","Yes","2010","2014","2018",
"SWZ","Eswatini","Eswatini","Kingdom of Eswatini","SZ","Swazi lilangeni","Fiscal year end: March 31; reporting period for national accounts data: CY. Authorities revised national accounts from 1999 to 2015.","Sub-Saharan Africa","Lower middle income","SZ","2019",,"Value added at basic prices (VAB)","Blend",,"Country uses the 2008 System of National Accounts methodology",,,"BPM6","Actual","General trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2017","Multiple Indicator Cluster Survey, 2014","Expenditure survey/budget survey (ES/BS), 2009/10",,,"2011","2017",
"SXM","Sint Maarten (Dutch part)","Sint Maarten (Dutch part)","Sint Maarten (Dutch part)","SX","Netherlands Antillean guilder",,"Latin America & Caribbean","High income","SX","2018",,"Value added at basic prices (VAB)",,,,,,"BPM6",,,,,,,,"Yes",,,,
"SYC","Seychelles","Seychelles","Republic of Seychelles","SC","Seychelles rupee",,"Sub-Saharan Africa","High income","SC","2014",,"Value added at basic prices (VAB)","IBRD",,"Country uses the 2008 System of National Accounts methodology",,,"BPM6",,"General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2020 (expected)",,"Expenditure survey/budget survey (ES/BS), 2013","Yes","2011",,"2018",
"SYR","Syrian Arab Republic","Syrian Arab Republic","Syrian Arab Republic","SY","Syrian pound","The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 2011-2023. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.","Middle East & North Africa","Low income","SY","2000",,"Value added at producer prices (VAP)","IDA",,"Country uses the 1993 System of National Accounts methodology",,,"BPM5 (Converted into BPM6 by IMF)","Estimate",,"Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2004","Multiple Indicator Cluster Survey, 2006","Expenditure survey/budget survey (ES/BS), 2007",,,"2005","2010",
"TCA","Turks and Caicos Islands","Turks and Caicos Islands","Turks and Caicos Islands","TC","U.S. dollar",,"Latin America & Caribbean","High income","TC","2012",,"Value added at basic prices (VAB)",,,"Country uses the 1993 System of National Accounts methodology",,,,,,,,"2012","Multiple Indicator Cluster Survey, 2019/20",,"Yes",,,"2012",
"TCD","Chad","Chad","Republic of Chad","TD","Central African CFA franc",,"Sub-Saharan Africa","Low income","TD","2005",,"Value added at basic prices (VAB)","IDA","HIPC","Country uses the 1993 System of National Accounts methodology",,,"BPM5 (Converted into BPM6 by IMF)","Preliminary",,,"Enhanced General Data Dissemination System (e-GDDS)","2009","Multiple Indicator Cluster Survey, 2019","Priority survey (PS), 2011",,,,"1995",
"TEA","East Asia & Pacific (IDA & IBRD)","East Asia & Pacific (IDA & IBRD)","East Asia & Pacific (IDA & IBRD)","T4",,"East Asia & Pacific (IDA & IBRD countries) aggregate.",,,"T4",,,,,,,,,,,,,,,,,,,,,
"TEC","Europe & Central Asia (IDA & IBRD)","Europe & Central Asia (IDA & IBRD)","Europe & Central Asia (IDA & IBRD)","T7",,"Europe & Central Asia (IDA & IBRD countries) aggregate.",,,"T7",,,,,,,,,,,,,,,,,,,,,
"TGO","Togo","Togo","Republic of Togo","TG","West African CFA franc",,"Sub-Saharan Africa","Low income","TG","2016",,"Value added at basic prices (VAB)","IDA","HIPC","Country uses the 2008 System of National Accounts methodology",,,"BPM6","Actual","General trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2020 (expected)","Malaria Indicator Survey, 2017; Multiple Indicator Cluster Survey, 2017","Core Welfare Indicator Questionnaire Survey (CWIQ), 2015",,"2011-14",,"2017",
"THA","Thailand","Thailand","Kingdom of Thailand","TH","Thai baht","Fiscal year end: September 30; reporting period for national accounts data: CY.","East Asia & Pacific","Upper middle income","TH","Original chained constant price data are rescaled.","2002","Value added at producer prices (VAP)","IBRD",,"Country uses the 2008 System of National Accounts methodology",,,"BPM6","Actual","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2020 (expected)","Multiple Indicator Cluster Survey, 2019","Integrated household survey (IHS), 2015",,"2013","2011","2018",
"TJK","Tajikistan","Tajikistan","Republic of Tajikistan","TJ","Tajik somoni",,"Europe & Central Asia","Lower middle income","TJ","Original chained constant price data are rescaled.","2000","Value added at basic prices (VAB)","IDA",,"Country uses the 1993 System of National Accounts methodology",,,"BPM6","Actual",,,"Enhanced General Data Dissemination System (e-GDDS)","2020 (expected)","Demographic and Health Survey, 2017","Expenditure survey/budget survey (ES/BS), 2015",,"2013",,,
"TKM","Turkmenistan","Turkmenistan","Turkmenistan","TM","New Turkmen manat",,"Europe & Central Asia","Upper middle income","TM","Original chained constant price data are rescaled.","2005","Value added at basic prices (VAB)","IBRD",,"Country uses the 1993 System of National Accounts methodology",,,"BPM5 (Converted into BPM6 by IMF)","Actual",,,,"2012","Multiple Indicator Cluster Survey, 2019","Living Standards Measurement Study Survey (LSMS), 1998",,,,"2000",
"TLA","Latin America & Caribbean (IDA & IBRD)","Latin America & Caribbean (IDA & IBRD)","Latin America & Caribbean (IDA & IBRD)","T2",,"Latin America & the Caribbean (IDA & IBRD countries) aggregate.",,,"T2",,,,,,,,,,,,,,,,,,,,,
"TLS","Timor-Leste","Timor-Leste","Democratic Republic of Timor-Leste","TL","U.S. dollar",,"East Asia & Pacific","Lower middle income","TP","2015",,"Value added at basic prices (VAB)","Blend",,"Country uses the 2008 System of National Accounts methodology",,,,"Actual","General trade system",,"Enhanced General Data Dissemination System (e-GDDS)","2015","Demographic and Health Survey, 2016","Living Standards Measurement Study Survey (LSMS), 2014/15",,,,"2017",
"TMN","Middle East & North Africa (IDA & IBRD)","Middle East & North Africa (IDA & IBRD)","Middle East & North Africa (IDA & IBRD)","T3",,"Middle East & North Africa (IDA & IBRD countries) aggregate.",,,"T3",,,,,,,,,,,,,,,,,,,,,
